prob,value,series
0.99,0.0,baseline
0.95,0.0,baseline
0.9,21.76675199999995,baseline
0.75,168.35904000000002,baseline
0.5,701.1100800000002,baseline
0.25,3021.77088,baseline
0.1,16636.867776,baseline
0.05,43479.19511999992,baseline
0.01,245430.25894080047,baseline
0.99,1e-09,synthetic
0.95,1e-09,synthetic
0.9,19.436228659228068,synthetic
0.75,164.22384725469868,synthetic
0.5,705.8297485149332,synthetic
0.25,3081.5150124801976,synthetic
0.1,16043.32198113015,synthetic
0.05,42170.64019614277,synthetic
0.01,245734.60200771232,synthetic
